1536738063422|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  5  0  2  6  4  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  2  4  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  1  0  0  2;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;8  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;5  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  2  0  0  0  0  0  0  0  0;0  0  4  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;
1536738075004|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  5  0  2  6  4  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  2  2  0  0;0  0  0  0  0  0  0  0  0  4  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  4  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
1536738075164|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  5  0  2  6  4  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  2  2  0  0;0  0  0  0  0  0  0  0  0  4  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  4  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
1536738077795|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  3  0  3  6  5  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  2  2  0  0;0  0  0  0  0  0  0  0  0  4  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  4  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
1536738079998|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  3  0  3  6  5  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  2  2  0  0;0  0  0  0  0  0  0  0  0  4  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  4  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
1536738080208|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  3  0  3  6  5  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  2  2  0  0;0  0  0  0  0  0  0  0  0  4  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  4  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
1536738083066|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  3  0  3  6  5  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  2  2  0  0;0  0  0  0  0  0  0  0  0  4  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  4  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
1536738083906|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  3  0  3  6  5  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  2  2  0  0;0  0  0  0  0  0  0  0  0  4  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  4  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
1536738084158|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  3  0  3  6  5  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  1  0  0  0  1  0  0  0  0  1;0  0  0  0  0  0  0  2  2  0  0;0  0  0  0  0  0  0  0  0  4  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;5  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  4  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
1536738092912|0  1  1  0  1  1  1  0  0  0  0;1  0  0  0  1  1  0  1  0  0  1;1  0  0  0  0  1  1  0  1  1  0;0  0  0  0  0  0  0  0  0  1  0;1  1  0  0  0  1  0  0  0  0  1;1  1  1  0  1  0  0  1  1  0  1;1  0  1  0  0  0  0  0  0  1  0;0  1  0  0  0  1  0  0  1  0  1;0  0  1  0  0  1  0  1  0  0  1;0  0  1  1  0  0  1  0  0  0  0;0  1  0  0  1  1  0  1  1  0  0;|0  2  3  0  3  6  5  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  2  2  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  2;0  0  0  0  0  0  0  2  0  0  0;0  0  0  0  0  0  0  0  0  1  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  1  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;2  0  0  0  0  0  0  0  0  0  0;6  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  2  0;4  0  0  0  0  0  0  0  0  0  0;4  0  0  0  0  0  0  0  0  0  0;3  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  2  0  0  0  0  0;0  0  2  0  0  0  0  0  0  0  0;0  0  2  0  0  0  1  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;
