1536568595174|0  1  0  0  0  1  0  0  0  0  0;0  0  0  0  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  1  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  1  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  1  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  3  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  3  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568604316|0  1  0  0  0  1  0  0  0  0  0;0  0  0  0  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  1  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  1  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  1  0  0  0  0;0  0  0  0  0  6  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  3  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  3  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568604532|0  1  0  0  0  1  0  0  0  0  0;0  0  0  0  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  1  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  1  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  1  0  0  0  0;0  0  0  0  0  6  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  3  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  3  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568604581|0  1  0  0  0  1  0  0  0  0  0;0  0  0  0  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  1  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  1  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  1  0  0  0  0;0  0  0  0  0  6  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  3  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  3  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568604939|0  1  0  0  0  1  0  0  0  0  0;0  0  0  0  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  1  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  1  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  1  0  0  0  0;0  0  0  0  0  6  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  3  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  3  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568604961|0  1  0  0  0  1  0  0  0  0  0;0  0  0  0  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  1  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  1  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  1  0  0  0  0;0  0  0  0  0  6  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  3  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  3  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568604979|0  1  0  0  0  1  0  0  0  0  0;0  0  0  0  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  1  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  1  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  1  0  0  0  0;0  0  0  0  0  6  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  3  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  3  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568605215|0  1  0  0  0  1  0  0  0  0  0;0  0  0  0  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  1  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  1  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  1  0  0  0  0;0  0  0  0  0  6  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  3  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  3  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568613639|0  1  0  0  0  1  0  0  0  0  0;1  0  0  1  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  2  0  0  0  0  0  0  0  0;0  4  0  0  0  0  2  0  1  0  0;0  0  0  0  0  0  0  0  0  2  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  6  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  4  0  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;0  2  0  0  0  0  0  0  0  0  0;0  0  0  0  0  4  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  12;0  0  0  0  0  4  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  2;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  2  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
1536568621527|0  1  0  0  0  1  0  0  0  0  0;1  0  0  1  0  1  1  0  0  0  0;0  0  0  1  1  0  0  0  1  0  0;0  1  1  0  0  0  1  0  1  1  0;0  0  1  0  0  1  0  1  1  0  0;1  1  0  0  0  0  1  1  1  0  1;0  1  0  1  0  1  0  0  0  1  0;0  0  0  0  1  1  0  0  1  0  1;0  0  1  1  1  1  0  1  0  0  0;0  0  0  1  0  0  1  0  0  0  0;0  0  0  0  0  1  0  1  0  0  0;|0  0  0  0  0  0  0  0  0  0  0;0  0  0  2  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  2  0  0  0  0  0  0  0  0;0  4  0  0  0  0  2  0  1  0  0;0  0  0  0  0  0  0  0  0  2  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;0  0  0  0  0  16  0  2  0  0  0;|0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  4  0  0  0  0  0;0  0  0  0  2  0  0  0  0  0  0;0  2  0  0  0  0  0  0  0  0  0;0  0  0  0  0  4  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  12;0  0  0  0  0  4  0  0  0  0  0;0  0  0  0  0  0  0  0  0  0  2;0  0  0  0  0  2  0  0  0  0  0;0  0  0  0  0  0  2  0  0  0  0;0  0  0  0  0  0  0  0  0  0  0;
